         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
4.46684e+02 1.14136e+04 4.06302e-01 1.03139e-06 1.73476e-05 7.85273e-01 6.16653e-01 9.37167e-06 4.71548e-01 7.73608e-18 4.93232e-27 4.93230e-27 
5.01187e+02 1.23268e+04 4.19634e-01 7.06032e-07 1.69817e-05 7.78630e-01 6.06265e-01 8.65961e-06 4.55192e-01 7.47345e-18 5.06989e-27 5.06986e-27 
5.62341e+02 1.33316e+04 4.31175e-01 4.82150e-07 1.67114e-05 7.71813e-01 5.95696e-01 8.02830e-06 4.39239e-01 7.21973e-18 5.21017e-27 5.21015e-27 
6.30957e+02 1.44345e+04 4.41135e-01 3.29015e-07 1.65058e-05 7.64820e-01 5.84950e-01 7.46285e-06 4.23636e-01 6.97463e-18 5.34917e-27 5.34916e-27 
7.07946e+02 1.56438e+04 4.49711e-01 2.24634e-07 1.63420e-05 7.57648e-01 5.74030e-01 6.95177e-06 4.08331e-01 6.73784e-18 5.48363e-27 5.48364e-27 
7.94328e+02 1.69668e+04 4.57082e-01 1.53580e-07 1.62037e-05 7.50294e-01 5.62941e-01 6.48612e-06 3.93277e-01 6.50910e-18 5.61097e-27 5.61097e-27 
8.91251e+02 1.84167e+04 4.63408e-01 1.05218e-07 1.60788e-05 7.42757e-01 5.51688e-01 6.05890e-06 3.78430e-01 6.28812e-18 5.72919e-27 5.72918e-27 
1.00000e+03 2.00056e+04 4.68833e-01 7.22655e-08 1.59583e-05 7.35035e-01 5.40277e-01 5.66457e-06 3.63749e-01 6.07465e-18 5.83677e-27 5.83675e-27 
1.12202e+03 2.17484e+04 4.73480e-01 4.97708e-08 1.58351e-05 7.27126e-01 5.28713e-01 5.29875e-06 3.49195e-01 5.86842e-18 5.93252e-27 5.93252e-27 
1.25893e+03 2.36621e+04 4.77457e-01 3.43787e-08 1.57030e-05 7.19029e-01 5.17003e-01 4.95790e-06 3.34734e-01 5.66919e-18 6.01571e-27 6.01569e-27 
